Company Name,Lead Partner,Primary Investor Type,Primary Industry Sector
Flowdesk,Jacobo Abitbol,Venture Capital,Information Technology
Flowdesk,Kasey Davies,Venture Capital,Information Technology
Wavo (Financial Software),Tony Parker,Angel (individual),Information Technology
ToumAI Analytics,Bruno Akpaka,Angel (individual),Information Technology
Anybuddy,Benjamin Kayser,Angel (individual),Consumer Products and Services (B2C)
Anybuddy,Julien Codorniou,Angel (individual),Consumer Products and Services (B2C)
Anybuddy,Martin Jaglin,Angel (individual),Consumer Products and Services (B2C)
Reev (Therapeutic Devices),Herve Silbert,Angel (individual),Healthcare
Reev (Therapeutic Devices),Anne-Sophie Saint-Martin,Venture Capital,Healthcare
Reev (Therapeutic Devices),Raphael Varane,Angel (individual),Healthcare
CROWN,Marcell Vollmer,Angel (individual),Information Technology
CROWN,Mario Götze,Angel (individual),Information Technology
Neuralk-AI,Charles Gorintin,Angel (individual),Information Technology
Neuralk-AI,Marie Brayer,Venture Capital,Information Technology
Neuralk-AI,Jean-Louis Quéguiner,Angel (individual),Information Technology
Neuralk-AI,Julien Launay,Angel (individual),Information Technology
Neuralk-AI,Nagi Letaifa,Angel (individual),Information Technology
Neuralk-AI,Philippe Corrot,Angel (individual),Information Technology
Neuralk-AI,Saturnin Pugnet,Angel (individual),Information Technology
Neuralk-AI,Thomas Wolf,Angel (individual),Information Technology
Neuralk-AI,Vincent Luciani,Angel (individual),Information Technology
Neuralk-AI,Xavier Perret,Angel (individual),Information Technology
Swan (Financial Software),Luca Bocchio,Venture Capital,Information Technology
Swan (Financial Software),Georgia Watson,Venture Capital,Information Technology
Zaion,Benoît Descoqs,Venture Capital,Information Technology
Cryptio,Christopher Heymann,Venture Capital,Information Technology
Cryptio,Bartosz Jakubowski,Venture Capital,Information Technology
Cryptio,Charles Songhurst,Angel (individual),Information Technology
Cryptio,Louis Coppey,Venture Capital,Information Technology
Formance,Aaron Epstein,Angel (individual),Information Technology
Formance,Ashish Aggarwal,Angel (individual),Information Technology
Formance,Dalton Caldwell,Angel (individual),Information Technology
Formance,Hélène Falchier,Angel (individual),Information Technology
Formance,Mathieu Viallard,Angel (individual),Information Technology
Formance,Payton Dobbs,Angel (individual),Information Technology
Formance,Robert Kniaz,Angel (individual),Information Technology
Formance,Victoire Lavigne,Angel (individual),Information Technology
Naboo,Itxaso del Palacio,Venture Capital,Business Products and Services (B2B)
Alice & Bob,François Robinet,Venture Capital,Information Technology
